d4260355-6359-416a-88f3-48709bc962ed,4919,urn:lsid:biodiversity.org.au:apni.taxon:115935,Cryptostylis ovata,Slipper Orchid,Cryptostylis ovata,SE 2.5KM ON TRACK OFF FERGUSON ROAD,-33.4583333,115.9583333,AGD84,-33.4572373,115.9595419,Australia,Western Australia,Dardanup (S),R.Br.
f80feb20-7fea-4b04-a061-30de6fd7ab9c,4932,urn:lsid:biodiversity.org.au:apni.taxon:115935,Cryptostylis ovata,Slipper Orchid,Cryptostylis ovata,E OF LAKE JASPER ALONG ACCESS TRACK,-34.4166666,115.6666666,AGD84,-34.4155843,115.6678875,Australia,Western Australia,Nannup (S),R.Br.
a1419f03-5b44-422d-b22a-3659ae534248,4967,urn:lsid:biodiversity.org.au:apni.taxon:96524,Diuris emarginata,Tall Donkey Orchid,Diuris emarginata,NORTHCLIFFE.WINDY HARBOUR RD SOUTHERN END.,-34.8333333,116.0166666,AGD84,-34.8322528,116.0178926,Australia,Western Australia,Manjimup (S),R.Br.
44f664aa-146d-4ded-ae7e-f563cc72f3db,3778,urn:lsid:biodiversity.org.au:apni.taxon:279734,Diuris longifolia,Common Donkey Orchid,Diuris longifolia,PEAK OF FRENCHMENS PEAK,-33.975,122.1583333,AGD84,-33.974,122.16,Australia,Western Australia,Esperance (S),R.Br.
387affe6-3943-441a-a00a-48ab9c2fd7f6,3779,urn:lsid:biodiversity.org.au:apni.taxon:279734,Diuris longifolia,Common Donkey Orchid,Diuris longifolia,NORTH EASTERN SLOPES,-33.9666666,122.1666666,AGD84,-33.9655226,122.1678664,Australia,Western Australia,Esperance (S),R.Br.
87e08371-caa8-4ec0-8749-250ab5a938a0,1663,urn:lsid:biodiversity.org.au:apni.taxon:517849,Caladenia flava,Cowslip Orchid,Caladenia flava,ESE 2 KM FROM LAKE JASPER,-34.4166666,115.6666666,AGD84,-34.4155843,115.6678875,Australia,Western Australia,Nannup (S),R.Br.
14135754-b2ec-47a2-9639-a22c9b0950a7,5240,urn:lsid:biodiversity.org.au:apni.taxon:279734,Diuris longifolia,Common Donkey Orchid,Diuris longifolia,APPROX 40 KMS EAST OF SCADDEN,-33.4583333,122.1458333,AGD84,-33.4571845,122.147027,Australia,Western Australia,Esperance (S),R.Br.
fba63e87-6c51-4a1b-a7c5-c1e80d2582c8,5376,urn:lsid:biodiversity.org.au:apni.taxon:513134,Eriochilus dilatatus,White Bunny Orchid,Eriochilus dilatatus,ON NW SIDE OF LANDING BEACH,-34.0333333,122.0166666,AGD84,-34.0321913,122.0178678,Australia,Western Australia,,Lindl.
cfe8e44f-31b5-4c87-85a8-e225b2495de8,5414,urn:lsid:biodiversity.org.au:apni.taxon:513134,Eriochilus dilatatus,White Bunny Orchid,Eriochilus dilatatus,PEAK OF FRENCHMENS PEAK,-33.975,122.1583333,AGD84,-33.974,122.16,Australia,Western Australia,Esperance (S),Lindl.
5ebcba7b-3c78-4d84-af3d-41ad0bc0caf4,5415,urn:lsid:biodiversity.org.au:apni.taxon:513134,Eriochilus dilatatus,White Bunny Orchid,Eriochilus dilatatus,NORTH EASTERN SLOPES,-33.9666666,122.1666666,AGD84,-33.9655226,122.1678664,Australia,Western Australia,Esperance (S),Lindl.
